lens_id,diffuser_id,rows,cols,spacing_x_mm,spacing_y_mm,lens_position_mm,current_per_led_ma,total_current_ma,power_w,source_flux_lm,exit_flux_lm,i00_cd,imax_cd,apparent_area_cm2,passed,note
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,3,2,28.0,28.0,,133.08451784829003,798.5071070897402,9.582085285076882,1300.4258601175768,484.7030132344889,400.00000000000006,564.7467932862987,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,1,1,28.0,28.0,,800.2464762979935,800.2464762979935,9.602957715575922,1303.2585471138752,485.4571032274889,400.0,573.8907557267524,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,3,3,28.0,28.0,,94.65766379436282,851.9189741492654,10.223027689791184,1387.410900757375,471.8061150825495,400.0,551.5166707738229,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,1,4,28.0,28.0,,214.87747751044446,859.5099100417779,10.314118920501334,1399.7732820680383,476.28393636700133,404.2064840442991,552.8465529304757,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,2,2,28.0,28.0,,214.87747751044446,859.5099100417779,10.314118920501334,1399.7732820680383,476.28393636700133,404.2064840442991,552.8465529304757,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,1,3,28.0,28.0,,286.7927832466994,860.3783497400982,10.324540196881179,1401.1875981481599,476.4594902128382,399.99999999999994,545.3521946070184,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,3,1,28.0,28.0,,286.7927832466994,860.3783497400982,10.324540196881179,1401.1875981481599,476.4594902128382,399.99999999999994,545.3521946070184,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,3,4,28.0,28.0,,71.89646008953544,862.7575210744253,10.353090252893104,1405.0622486069212,477.675308231468,400.0,568.5294197874621,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,2,4,28.0,28.0,,108.364988748295,866.91990998636,10.403038919836321,1411.8409962635008,480.0638178250408,399.99999999999994,556.4576989718266,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,1,2,28.0,28.0,,435.0839075355667,870.1678150711334,10.442013780853602,1417.1304416872745,481.9837654068422,400.0,556.924338535367,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,2,1,28.0,28.0,,435.0839075355667,870.1678150711334,10.442013780853602,1417.1304416872745,481.9837654068422,400.0,556.924338535367,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,2,3,28.0,28.0,,145.65358337346052,873.9215002407632,10.487058002889158,1423.2435861063857,484.01441061888244,400.0,563.9282367518553,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,3,2,28.0,28.0,,145.65358337346052,873.9215002407632,10.487058002889158,1423.2435861063857,484.01441061888244,400.0,563.9282367518553,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,milky_acrylic_diffuser,1,1,28.0,28.0,,876.1525328188926,876.1525328188926,10.51383039382671,1426.8769820193393,484.978278347467,400.0,572.01139846993,27.0,True,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,2,4,28.0,28.0,,16.698745559353664,133.58996447482932,1.6030795736979517,217.5607992875792,178.82305728688823,1454.8351700979592,1526.6460621254214,98.0,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,1,4,28.0,28.0,,34.96457585728253,139.85830342913013,1.6782996411495614,227.7692370131548,187.3383110781553,1463.831557139338,1556.0487311686652,49.0,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,2,2,28.0,28.0,,34.96457585728253,139.85830342913013,1.6782996411495614,227.7692370131548,187.3383110781553,1463.831557139338,1556.0487311686652,49.0,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,2,3,28.0,28.0,,23.477147770491463,140.8628866229488,1.6903546394753854,229.40527250023086,188.5859476633255,1480.0694344469073,1590.1290009610575,73.5,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,3,2,28.0,28.0,,23.477147770491463,140.8628866229488,1.6903546394753854,229.40527250023086,188.5859476633255,1480.0694344469073,1590.1290009610575,73.5,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,3,3,28.0,28.0,,16.853552894145192,151.68197604730673,1.8201837125676807,247.02493241989953,203.06119381211198,1647.4589185081602,1743.4360219178984,110.25,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,3,4,28.0,28.0,,13.082270951365777,156.9872514163893,1.8838470169966717,255.66495230669116,210.1058734230556,1622.1520154047914,1848.7244299879214,147.0,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,1,3,28.0,28.0,,57.90271548418162,173.70814645254487,2.0844977574305386,282.8961242227159,232.5335997838009,1918.960936291855,2000.6410832011006,36.75,False,scaled physical approximation
ledil_f15539_jenny_40_xhp70p2,none,3,1,28.0,28.0,,57.90271548418162,173.70814645254487,2.0844977574305386,282.8961242227159,232.5335997838009,1918.960936291855,2000.6410832011006,36.75,False,scaled physical approximation
